url;num_hyphens;url_length;has_https;num_dots;has_double_tld;is_phishing
https://gamevote.jagex.com.challenge.competition.community.tamanoir.ru/portal/medieval-legends-competition-v6r9x82kt56lsaq93mnb0fj1x;3;132;1;7;0;1
https://liefrung.neu.planen.15-237-209-215.cprapid.com/app/update.php;3;69;1;6;0;1
https://www.google.com.br-pt-bralfandegacorreios710439522@hahousih.in.ua/?=%25rand9%25/?email=junior.slz@hotmail.com;2;116;1;7;1;1
https://mykasih.go-starment.web.id/P915409-11-4/;3;48;1;3;0;1
https://www.apple.com/mac/;0;26;1;2;0;0
https://aws.amazon.com/getting-started/;1;39;1;2;0;0
https://developer.mozilla.org/en-US/docs/Web/JavaScript;1;55;1;2;0;0
https://cloud.google.com/products/;0;34;1;2;0;0
https://www.wikipedia.org/;0;26;1;2;0;0
https://www.github.com/pricing;0;30;1;2;0;0
https://docs.microsoft.com/en-us/azure/active-directory/;2;56;1;2;0;0
https://www.djangoproject.com/start/;0;36;1;2;0;0
https://www.amazon.de/gp/help/customer/display.html;0;51;1;3;0;0
https://news.google.com/topstories;0;34;1;2;0;0
https://www.netflix.com/de-en/login;1;35;1;2;0;0
https://support.microsoft.com/en-us/office;1;42;1;2;0;0
https://translate.google.com/;0;29;1;2;0;0
https://www.google.com/maps;0;27;1;2;0;0
https://www.apple.com/ipad/;0;27;1;2;0;0
https://www.microsoft.com/en-us/microsoft-365;2;45;1;2;0;0
https://news.ycombinator.com/;0;29;1;2;0;0
https://www.mysql.com/products/community/;0;41;1;2;0;0
https://docs.microsoft.com/en-us/azure/active-directory/devices/overview;2;72;1;2;0;0
https://www.microsoft.com/en-us/sql-server/;2;43;1;2;0;0
https://en.wikipedia.org/wiki/Software_engineering;0;50;1;2;0;0
https://developer.android.com/training/basics/fragments/fragment-ui;1;67;1;2;0;0
https://www.microsoft.com/en-us/windows/compatibility/why-not-upgrade;3;69;1;2;0;0
https://en.wikipedia.org/wiki/List_of_programming_languages_by_type;0;67;1;2;0;0
https://firebase.google.com/docs/functions/callable;0;51;1;2;0;0
https://en.wikipedia.org/wiki/Machine_learning_algorithms_in_practice;0;69;1;2;0;0
https://www.spotify.com/us/account/subscription/;0;48;1;2;0;0
https://docs.python.org/3/library/unittest.mock.html;0;52;1;4;0;0
https://www.python.org/doc/;0;27;1;2;0;0
https://www.mozilla.org/en-US/contribute/;1;41;1;2;0;0
https://www.github.com/about/;0;29;1;2;0;0
https://www.linkedin.com/feed/;0;30;1;2;0;0
https://www.oracle.com/cloud/;0;29;1;2;0;0
https://developer.chrome.com/docs/extensions/;0;45;1;2;0;0
https://firebase.google.com/console/;0;36;1;2;0;0
https://docs.python.org/3/library/index.html;0;44;1;3;0;0
https://www.apple.com/music/;0;28;1;2;0;0
https://www.netflix.com/de-en/;1;30;1;2;0;0
https://azure.microsoft.com/en-us/services/;1;43;1;2;0;0
https://www.apple.com/newsroom/;0;31;1;2;0;0
https://support.google.com/a/answer/6208960;0;43;1;2;0;0
https://www.mozilla.org/en-US/;1;30;1;2;0;0
https://cloudflare.com/learning/;0;32;1;1;0;0
https://developer.android.com/guide/;0;36;1;2;0;0
https://www.apple.com/shop;0;26;1;2;0;0
https://about.google/intl/en_us/products/;0;41;1;1;0;0
https://firebase.google.com/docs/;0;33;1;2;0;0
https://developer.github.com/v3/;0;32;1;2;0;0
https://cloud.google.com/docs/overview/;0;39;1;2;0;0
https://developer.apple.com/app-store/;1;38;1;2;0;0
https://www.ibm.com/cloud/;0;26;1;2;0;0
